value,timestamp
50,2021-08-05
42,2021-08-04
48,2021-08-03
48,2021-08-02
60,2021-08-01
60,2021-07-31
53,2021-07-30
50,2021-07-29
50,2021-07-28
32,2021-07-27
26,2021-07-26
27,2021-07-25
22,2021-07-24
23,2021-07-23
21,2021-07-22
10,2021-07-21
19,2021-07-20
24,2021-07-19
19,2021-07-18
15,2021-07-17
22,2021-07-16
20,2021-07-15
21,2021-07-14
20,2021-07-13
25,2021-07-12
20,2021-07-11
20,2021-07-10
20,2021-07-09
20,2021-07-08
28,2021-07-07
20,2021-07-06
29,2021-07-05
27,2021-07-04
24,2021-07-03
21,2021-07-02
28,2021-07-01
28,2021-06-30
25,2021-06-29
25,2021-06-28
22,2021-06-27
20,2021-06-26
27,2021-06-25
22,2021-06-24
14,2021-06-23
10,2021-06-22
23,2021-06-21
21,2021-06-20
23,2021-06-19
25,2021-06-18
26,2021-06-17
33,2021-06-16
38,2021-06-15
28,2021-06-14
23,2021-06-13
28,2021-06-12
21,2021-06-11
21,2021-06-10
14,2021-06-09
13,2021-06-08
15,2021-06-07
17,2021-06-06
24,2021-06-05
27,2021-06-04
24,2021-06-03
23,2021-06-02
20,2021-06-01
18,2021-05-31
10,2021-05-30
18,2021-05-29
21,2021-05-28
27,2021-05-27
22,2021-05-26
22,2021-05-25
10,2021-05-24
14,2021-05-23
12,2021-05-22
19,2021-05-21
11,2021-05-20
23,2021-05-19
21,2021-05-18
27,2021-05-17
20,2021-05-16
27,2021-05-15
26,2021-05-14
31,2021-05-13
68,2021-05-12
61,2021-05-11
72,2021-05-10
73,2021-05-09
67,2021-05-08
64,2021-05-07
65,2021-05-06
48,2021-05-05
68,2021-05-04
61,2021-05-03
66,2021-05-02
68,2021-05-01
51,2021-04-30
52,2021-04-29
59,2021-04-28
50,2021-04-27
27,2021-04-26
31,2021-04-25
37,2021-04-24
55,2021-04-23
65,2021-04-22
73,2021-04-21
73,2021-04-20
74,2021-04-19
79,2021-04-18
76,2021-04-17
78,2021-04-16
79,2021-04-15
75,2021-04-14
74,2021-04-13
74,2021-04-12
76,2021-04-11
70,2021-04-10
70,2021-04-09
73,2021-04-08
72,2021-04-07
75,2021-04-06
71,2021-04-05
74,2021-04-04
73,2021-04-03
74,2021-04-02
74,2021-04-01
76,2021-03-31
72,2021-03-30
72,2021-03-29
74,2021-03-28
65,2021-03-27
54,2021-03-26
60,2021-03-25
65,2021-03-24
66,2021-03-23
70,2021-03-22
73,2021-03-21
75,2021-03-20
71,2021-03-19
72,2021-03-18
71,2021-03-17
71,2021-03-16
76,2021-03-15
78,2021-03-14
74,2021-03-13
70,2021-03-12
73,2021-03-11
68,2021-03-10
81,2021-03-09
81,2021-03-08
76,2021-03-07
77,2021-03-06
77,2021-03-05
84,2021-03-04
78,2021-03-03
78,2021-03-02
38,2021-03-01
55,2021-02-28
56,2021-02-27
55,2021-02-26
79,2021-02-25
76,2021-02-24
94,2021-02-23
94,2021-02-22
91,2021-02-21
91,2021-02-20
93,2021-02-19
91,2021-02-18
95,2021-02-17
95,2021-02-16
93,2021-02-15
95,2021-02-14
92,2021-02-13
92,2021-02-12
93,2021-02-11
92,2021-02-10
95,2021-02-09
83,2021-02-08
86,2021-02-07
84,2021-02-06
81,2021-02-05
80,2021-02-04
78,2021-02-03
76,2021-02-02
77,2021-02-01
78,2021-01-31
76,2021-01-30
77,2021-01-29
55,2021-01-28
78,2021-01-27
71,2021-01-26
74,2021-01-25
70,2021-01-24
74,2021-01-23
40,2021-01-22
75,2021-01-21
78,2021-01-20
80,2021-01-19
79,2021-01-18
79,2021-01-17
84,2021-01-16
88,2021-01-15
83,2021-01-14
78,2021-01-13
84,2021-01-12
90,2021-01-11
94,2021-01-10
93,2021-01-09
93,2021-01-08
91,2021-01-07
95,2021-01-06
93,2021-01-05
94,2021-01-04
93,2021-01-03
94,2021-01-02
94,2021-01-01
95,2020-12-31
91,2020-12-30
91,2020-12-29
92,2020-12-28
91,2020-12-27
93,2020-12-26
94,2020-12-25
86,2020-12-24
93,2020-12-23
88,2020-12-22
92,2020-12-21
92,2020-12-20
93,2020-12-19
95,2020-12-18
92,2020-12-17
92,2020-12-16
91,2020-12-15
95,2020-12-14
91,2020-12-13
90,2020-12-12
89,2020-12-11
94,2020-12-10
86,2020-12-09
95,2020-12-08
94,2020-12-07
95,2020-12-06
93,2020-12-05
92,2020-12-04
92,2020-12-03
92,2020-12-02
95,2020-12-01
88,2020-11-30
89,2020-11-29
87,2020-11-28
86,2020-11-27
93,2020-11-26
94,2020-11-25
88,2020-11-24
90,2020-11-23
94,2020-11-22
91,2020-11-21
86,2020-11-20
94,2020-11-19
91,2020-11-18
86,2020-11-17
90,2020-11-16
86,2020-11-15
90,2020-11-14
89,2020-11-13
87,2020-11-12
86,2020-11-11
90,2020-11-10
90,2020-11-09
82,2020-11-08
88,2020-11-07
90,2020-11-06
72,2020-11-05
74,2020-11-04
71,2020-11-03
71,2020-11-02
72,2020-11-01
73,2020-10-31
74,2020-10-30
67,2020-10-29
70,2020-10-28
61,2020-10-27
75,2020-10-26
76,2020-10-25
73,2020-10-24
74,2020-10-23
73,2020-10-22
61,2020-10-21
56,2020-10-20
55,2020-10-19
55,2020-10-18
56,2020-10-17
52,2020-10-16
